,date,QT_EXIST0
0,2020-02,29.93325909419153
1,2020-03,75.66012520115562
2,2020-04,35.6222054408179
3,2020-05,67.82078656952521
4,2020-06,50.06137259046165
5,2020-07,20.63063713038929
6,2020-08,20.189256068663365
7,2020-09,21.526211412549536
8,2020-10,10.331989159885913
9,2020-11,81.3142054010245
10,2020-12,114.9271508391294
11,2021-01,23.19362939353055
12,2021-02,62.723237683131
13,2021-03,48.03037233529079
14,2021-04,69.09089940760926
15,2021-05,42.47504169117043
16,2021-06,20.030809602543112
17,2021-07,49.96853555443211
18,2021-08,25.793452614998987
19,2021-09,19.275447002413646
20,2021-10,18.251400942493056
21,2021-11,21.246428271258072
22,2021-12,20.182500670960803
23,2022-01,32.914318783052174
24,2022-02,116.1808934377766
25,2022-03,53.5075752212769
26,2022-04,28.48176804749156
27,2022-05,18.547236990991408
28,2022-06,70.01913310606659
29,2022-07,15.020591926358355
30,2022-08,22.493385271060934
31,2022-09,15.524174696260024
32,2022-10,15.714718608755964
33,2022-11,60.91852482346127
